Change_log	Original_gene_name	Original_transcript_ID	Original_transcript_name	Original_protein_accession	OGSv0_ID	MCOTv1.1	Dmel		
no change - only ID and name update	103513040	XM_008477850.1	XM_008477850.1	XP_008476072.1	Dcitr09307.1	MCOT12061.2.CC	FBpp0307924
replaced by Apollo model: simple replacement	103513039	XM_008477849.1	XM_008477849.1	XP_008476071.1	Dcitr19010.1	MCOT00649.3.CC	
no change - only ID and name update	103513038	XM_008477848.1	XM_008477848.1	XP_008476070.1	Dcitr09306.1	MCOT01693.0.CC	
no change - only ID and name update	103513036	XM_008477846.1	XM_008477846.1	XP_008476068.1	Dcitr09317.1	MCOT12294.0.CT	
replaced by Apollo model: simple replacement	103513035	XM_008477845.1	XM_008477845.1	XP_008476067.1	Dcitr19011.2	MCOT21079.2.CO	
replaced by Apollo model: simple replacement	103513035	NA		NA	NA	Dcitr19011.1		
no change - only ID and name update	103513034	XM_008477844.1	XM_008477844.1	XP_008476066.1	Dcitr09316.1	MCOT15614.1.CC	FBpp0088493
no change - only ID and name update	103513028	XM_008477838.1	XM_008477838.1	XP_008476060.1	Dcitr09315.2	MCOT00520.0.CC	
no change - only ID and name update	103513028	XM_008477839.1	XM_008477839.1	XP_008476061.1	Dcitr09315.1	MCOT17908.0.CC	
no change - only ID and name update	103513032	XM_008477843.1	XM_008477843.1	XP_008476065.1	Dcitr09314.1	MCOT21383.0.CO	
no change - only ID and name update	103513029	XM_008477840.1	XM_008477840.1	XP_008476062.1	Dcitr09313.1	MCOT19461.2.CT	
no change - only ID and name update	103513027	XM_008477837.1	XM_008477837.1	XP_008476059.1	Dcitr09312.1	MCOT02768.0.CC	FBpp0083275
no change - only ID and name update	103513031	XM_008477842.1	XM_008477842.1	XP_008476064.1	Dcitr09311.1		
no change - only ID and name update	103513030	XM_008477841.1	XM_008477841.1	XP_008476063.1	Dcitr09310.1		
no change - only ID and name update	103513026	XM_008477835.1	XM_008477835.1	XP_008476057.1	Dcitr09318.1	MCOT22649.0.CC	
replaced by Apollo model: simple replacement	103513025	XM_008477834.1	XM_008477834.1	XP_008476056.1	Dcitr19012.1	MCOT06096.0.CC	
no change - only ID and name update	103513024	XM_008477833.1	XM_008477833.1	XP_008476055.1	Dcitr09324.1	MCOT19268.0.CC	
no change - only ID and name update	103513022	XM_008477832.1	XM_008477832.1	XP_008476054.1	Dcitr09323.1		
no change - only ID and name update	103513021	XM_008477831.1	XM_008477831.1	XP_008476053.1	Dcitr09322.1		
no change - only ID and name update	103513020	XM_008477830.1	XM_008477830.1	XP_008476052.1	Dcitr09321.1		
no change - only ID and name update	103513019	XM_008477828.1	XM_008477828.1	XP_008476050.1	Dcitr09320.1	MCOT21396.4.CT	FBpp0289214
no change - only ID and name update	103513018	XM_008477827.1	XM_008477827.1	XP_008476049.1	Dcitr09319.1		
no change - only ID and name update	103513017	XM_008477826.1	XM_008477826.1	XP_008476048.1	Dcitr09334.1	MCOT21899.2.CT	
no change - only ID and name update	103513016	XM_008477825.1	XM_008477825.1	XP_008476047.1	Dcitr09333.1	MCOT12806.2.CO	
no change - only ID and name update	103513015	XM_008477823.1	XM_008477823.1	XP_008476045.1	Dcitr09332.1	MCOT12806.2.CO	
no change - only ID and name update	103513014	XM_008477822.1	XM_008477822.1	XP_008476044.1	Dcitr09331.1		
no change - only ID and name update	103513013	XM_008477821.1	XM_008477821.1	XP_008476043.1	Dcitr09330.1		
no change - only ID and name update	103513011	XM_008477820.1	XM_008477820.1	XP_008476042.1	Dcitr09329.1		
no change - only ID and name update	103513007	XM_008477816.1	XM_008477816.1	XP_008476038.1	Dcitr09328.1	MCOT17835.0.CO	
no change - only ID and name update	103513010	XM_008477819.1	XM_008477819.1	XP_008476041.1	Dcitr09327.1	MCOT17835.0.CO	
no change - only ID and name update	103513009	XM_008477818.1	XM_008477818.1	XP_008476040.1	Dcitr09326.1	MCOT21795.0.CT	FBpp0303197
no change - only ID and name update	103513008	XM_008477817.1	XM_008477817.1	XP_008476039.1	Dcitr09325.1	MCOT20946.0.CO	
no change - only ID and name update	103513006	XM_008477815.1	XM_008477815.1	XP_008476037.1	Dcitr09339.1	MCOT14014.2.CC	
no change - only ID and name update	103513005	XM_008477814.1	XM_008477814.1	XP_008476036.1	Dcitr09338.1	MCOT14014.2.CC	
no change - only ID and name update	103513000	XM_008477810.1	XM_008477810.1	XP_008476032.1	Dcitr09337.1	MCOT14014.2.CC	
no change - only ID and name update	103513004	XM_008477812.1	XM_008477812.1	XP_008476034.1	Dcitr09336.1	MCOT16895.0.CT	
no change - only ID and name update	103513003	XM_008477811.1	XM_008477811.1	XP_008476033.1	Dcitr09335.1	MCOT01281.0.CT	FBpp0310202
no change - only ID and name update	103512999	XM_008477809.1	XM_008477809.1	XP_008476031.1	Dcitr09346.1	MCOT20572.0.CT	
no change - only ID and name update	103512998	XM_008477808.1	XM_008477808.1	XP_008476030.1	Dcitr09345.1		
no change - only ID and name update	103512997	XM_008477807.1	XM_008477807.1	XP_008476029.1	Dcitr09344.1		
no change - only ID and name update	103512996	XM_008477806.1	XM_008477806.1	XP_008476028.1	Dcitr09343.1	MCOT17191.0.CT	
no change - only ID and name update	103512995	XM_008477805.1	XM_008477805.1	XP_008476027.1	Dcitr09342.1	MCOT17263.1.CC	
no change - only ID and name update	103512992	XM_008477802.1	XM_008477802.1	XP_008476024.1	Dcitr09341.1	MCOT06578.2.CC	FBpp0086993
replaced by Apollo model: simple replacement	103512994	XM_008477804.1	XM_008477804.1	XP_008476026.1	Dcitr19013.1		FBpp0302864
no change - only ID and name update	103512993	XM_008477803.1	XM_008477803.1	XP_008476025.1	Dcitr09340.1	MCOT06696.0.CO	
no change - only ID and name update	103512991	XM_008477801.1	XM_008477801.1	XP_008476023.1	Dcitr09355.1	MCOT02067.0.CO	
no change - only ID and name update	103512990	XM_008477800.1	XM_008477800.1	XP_008476022.1	Dcitr09354.1	MCOT00394.0.CC	
no change - only ID and name update	103512983	XM_008477792.1	XM_008477792.1	XP_008476014.1	Dcitr09353.1	MCOT01127.0.CC	
no change - only ID and name update	103512984	XM_008477793.1	XM_008477793.1	XP_008476015.1	Dcitr09352.1	MCOT12971.0.CC	
replaced by Apollo model: simple replacement	103512985	XM_008477794.1	XM_008477794.1	XP_008476016.1	Dcitr19014.1	MCOT10937.0.MM	FBpp0076541
no change - only ID and name update	103512989	XM_008477799.1	XM_008477799.1	XP_008476021.1	Dcitr09351.1	MCOT12816.0.CT	FBpp0401447
no change - only ID and name update	103512988	XM_008477798.1	XM_008477798.1	XP_008476020.1	Dcitr09350.1	MCOT14613.1.CC	
no change - only ID and name update	103512987	XM_008477797.1	XM_008477797.1	XP_008476019.1	Dcitr09349.1	MCOT14613.2.CC	
no change - only ID and name update	103512981	XM_008477790.1	XM_008477790.1	XP_008476012.1	Dcitr09348.2	MCOT18936.0.CT	
no change - only ID and name update	103512981	XM_008477791.1	XM_008477791.1	XP_008476013.1	Dcitr09348.1	MCOT15118.3.CT	FBpp0293275
no change - only ID and name update	103512980	XM_008477789.1	XM_008477789.1	XP_008476011.1	Dcitr09357.1	MCOT19221.4.CC	
no change - only ID and name update	103512979	XM_008477788.1	XM_008477788.1	XP_008476010.1	Dcitr09356.1	MCOT19221.2.CC	
no change - only ID and name update	103512978	XM_008477787.1	XM_008477787.1	XP_008476009.1	Dcitr09364.1	MCOT19378.1.CO	
no change - only ID and name update	103512977	XM_008477786.1	XM_008477786.1	XP_008476008.1	Dcitr09363.1		FBpp0288750
no change - only ID and name update	103512975	XM_008477783.1	XM_008477783.1	XP_008476005.1	Dcitr09362.1	MCOT16274.0.CC	FBpp0302052
no change - only ID and name update	103512974	XM_008477782.1	XM_008477782.1	XP_008476004.1	Dcitr09361.1	MCOT01894.0.CC	FBpp0089217
no change - only ID and name update	103512972	XM_008477781.1	XM_008477781.1	XP_008476003.1	Dcitr09360.1	MCOT12543.0.CC	
no change - only ID and name update	103512976	XM_008477784.1	XM_008477784.1	XP_008476006.1	Dcitr09359.1	MCOT03800.1.CC	
no change - only ID and name update	103512971	XM_008477778.1	XM_008477778.1	XP_008476000.1	Dcitr09358.3	MCOT18791.0.CT	
no change - only ID and name update	103512971	XM_008477779.1	XM_008477779.1	XP_008476001.1	Dcitr09358.2	MCOT18791.0.CT	
no change - only ID and name update	103512971	XM_008477780.1	XM_008477780.1	XP_008476002.1	Dcitr09358.1	MCOT18791.0.CT	
no change - only ID and name update	103512969	XM_008477776.1	XM_008477776.1	XP_008475998.1	Dcitr09371.1	MCOT12909.0.CT	FBpp0298340
no change - only ID and name update	103512966	XM_008477773.1	XM_008477773.1	XP_008475995.1	Dcitr09370.2	MCOT15143.2.CC	FBpp0072780
no change - only ID and name update	103512966	XM_008477772.1	XM_008477772.1	XP_008475994.1	Dcitr09370.1	MCOT15143.2.CC	
no change - only ID and name update	103512965	XM_008477771.1	XM_008477771.1	XP_008475993.1	Dcitr09369.1	MCOT21487.0.CC	
no change - only ID and name update	103512968	XM_008477775.1	XM_008477775.1	XP_008475997.1	Dcitr09368.1	MCOT20334.0.CT	
no change - only ID and name update	103512964	XM_008477769.1	XM_008477769.1	XP_008475991.1	Dcitr09367.1	MCOT18176.0.CO	
no change - only ID and name update	103512962	XM_008477766.1	XM_008477766.1	XP_008475988.1	Dcitr09366.4	MCOT04793.1.CC	
no change - only ID and name update	103512962	XM_008477765.1	XM_008477765.1	XP_008475987.1	Dcitr09366.3	MCOT04793.1.CC	
no change - only ID and name update	103512962	XM_008477764.1	XM_008477764.1	XP_008475986.1	Dcitr09366.5	MCOT04793.1.CC	
no change - only ID and name update	103512962	XM_008477763.1	XM_008477763.1	XP_008475985.1	Dcitr09366.6	MCOT04793.1.CC	
no change - only ID and name update	103512962	XM_008477768.1	XM_008477768.1	XP_008475990.1	Dcitr09366.2	MCOT04793.1.CC	
no change - only ID and name update	103512962	XM_008477767.1	XM_008477767.1	XP_008475989.1	Dcitr09366.1	MCOT04793.1.CC	
no change - only ID and name update	103512967	XM_008477774.1	XM_008477774.1	XP_008475996.1	Dcitr09365.1	MCOT04772.0.CT	FBpp0078512
no change - only ID and name update	103512961	XM_008477762.1	XM_008477762.1	XP_008475984.1	Dcitr09381.1	MCOT21902.0.CT	FBpp0289081
no change - only ID and name update	103512960	XM_008477761.1	XM_008477761.1	XP_008475983.1	Dcitr09380.1	MCOT17848.0.CO	
replaced by Apollo model: simple replacement	103512951	XM_008477751.1	XM_008477751.1	XP_008475973.1	Dcitr19015.1	MCOT22668.0.CC	FBpp0307666
no change - only ID and name update	103512959	XM_008477760.1	XM_008477760.1	XP_008475982.1	Dcitr09379.1		
no change - only ID and name update	103512958	XM_008477759.1	XM_008477759.1	XP_008475981.1	Dcitr09378.1	MCOT16127.2.CO	
no change - only ID and name update	103512957	XM_008477756.1	XM_008477756.1	XP_008475978.1	Dcitr09377.1	MCOT13644.1.CC	FBpp0074831
no change - only ID and name update	103512950	XM_008477750.1	XM_008477750.1	XP_008475972.1	Dcitr09376.1	MCOT01885.0.CT	
no change - only ID and name update	103512956	XM_008477755.1	XM_008477755.1	XP_008475977.1	Dcitr09375.1	MCOT21858.0.CO	
no change - only ID and name update	103512955	XM_008477754.1	XM_008477754.1	XP_008475976.1	Dcitr09374.1	MCOT18940.2.CO	FBpp0297988
no change - only ID and name update	103512953	XM_008477753.1	XM_008477753.1	XP_008475975.1	Dcitr09373.1	MCOT18940.2.CO	
no change - only ID and name update	103512952	XM_008477752.1	XM_008477752.1	XP_008475974.1	Dcitr09372.1		FBpp0083452
no change - only ID and name update	103512949	XM_008477749.1	XM_008477749.1	XP_008475971.1	Dcitr09382.1		
no change - only ID and name update	103512943	XM_008477743.1	XM_008477743.1	XP_008475965.1	Dcitr09389.1	MCOT18615.0.CC	FBpp0081114
no change - only ID and name update	103512948	XM_008477747.1	XM_008477747.1	XP_008475969.1	Dcitr09388.1	MCOT06632.0.CT	
no change - only ID and name update	103512947	XM_008477746.1	XM_008477746.1	XP_008475968.1	Dcitr09387.1	MCOT13080.1.CC	
no change - only ID and name update	103512942	XM_008477740.1	XM_008477740.1	XP_008475962.1	Dcitr09386.2	MCOT01383.1.CC	
no change - only ID and name update	103512942	XM_008477741.1	XM_008477741.1	XP_008475963.1	Dcitr09386.1	MCOT01383.1.CC	
no change - only ID and name update	103512942	XM_008477742.1	XM_008477742.1	XP_008475964.1	Dcitr09386.3	MCOT01383.2.CC	
no change - only ID and name update	103512945	XM_008477745.1	XM_008477745.1	XP_008475967.1	Dcitr09385.1	MCOT00346.2.CO	
no change - only ID and name update	103512944	XM_008477744.1	XM_008477744.1	XP_008475966.1	Dcitr09384.1	MCOT01780.1.CC	FBpp0086223
no change - only ID and name update	103512940	XM_008477739.1	XM_008477739.1	XP_008475961.1	Dcitr09383.1	MCOT21037.2.CO	
no change - only ID and name update	103512939	XM_008477738.1	XM_008477738.1	XP_008475960.1	Dcitr09392.1	MCOT04479.0.CO	FBpp0084221
no change - only ID and name update	103512938	XM_008477737.1	XM_008477737.1	XP_008475959.1	Dcitr09391.1	MCOT16770.0.CC	
no change - only ID and name update	103512937	XM_008477736.1	XM_008477736.1	XP_008475958.1	Dcitr09390.1	MCOT16232.2.CO	
no change - only ID and name update	103512935	XM_008477734.1	XM_008477734.1	XP_008475956.1	Dcitr09395.1	MCOT01300.0.CO	
no change - only ID and name update	103512934	XM_008477733.1	XM_008477733.1	XP_008475955.1	Dcitr09394.1	MCOT13870.2.CC	FBpp0076348
no change - only ID and name update	103512936	XM_008477735.1	XM_008477735.1	XP_008475957.1	Dcitr09393.1	MCOT19013.1.CO	FBpp0271781
no change - only ID and name update	103512932	XM_008477731.1	XM_008477731.1	XP_008475953.1	Dcitr09400.1	MCOT08028.0.MM	
no change - only ID and name update	103512933	XM_008477732.1	XM_008477732.1	XP_008475954.1	Dcitr09399.1	MCOT17973.1.CO	
no change - only ID and name update	103512928	XM_008477723.1	XM_008477723.1	XP_008475945.1	Dcitr09398.2	MCOT21144.0.CC	
no change - only ID and name update	103512928	XM_008477728.1	XM_008477728.1	XP_008475950.1	Dcitr09398.6	MCOT21144.0.CC	FBpp0076189
no change - only ID and name update	103512928	XM_008477724.1	XM_008477724.1	XP_008475946.1	Dcitr09398.3	MCOT21144.0.CC	
no change - only ID and name update	103512928	XM_008477727.1	XM_008477727.1	XP_008475949.1	Dcitr09398.5	MCOT21144.0.CC	
no change - only ID and name update	103512928	XM_008477725.1	XM_008477725.1	XP_008475947.1	Dcitr09398.1	MCOT21144.0.CC	
no change - only ID and name update	103512928	XM_008477726.1	XM_008477726.1	XP_008475948.1	Dcitr09398.4	MCOT21144.0.CC	
no change - only ID and name update	103512931	XM_008477730.1	XM_008477730.1	XP_008475952.1	Dcitr09397.1	MCOT13598.0.CC	FBpp0071223
no change - only ID and name update	103512929	XM_008477729.1	XM_008477729.1	XP_008475951.1	Dcitr09396.1	MCOT00219.1.CC	FBpp0083261
no change - only ID and name update	103512927	XM_008477722.1	XM_008477722.1	XP_008475944.1	Dcitr09414.1	MCOT20457.0.CO	
no change - only ID and name update	103512919	XM_008477713.1	XM_008477713.1	XP_008475935.1	Dcitr09413.1	MCOT23171.0.CO	
no change - only ID and name update	103512926	XM_008477721.1	XM_008477721.1	XP_008475943.1	Dcitr09412.1	MCOT12751.0.CO	
no change - only ID and name update	103512925	XM_008477720.1	XM_008477720.1	XP_008475942.1	Dcitr09411.1	MCOT20457.0.CO	
no change - only ID and name update	103512924	XM_008477719.1	XM_008477719.1	XP_008475941.1	Dcitr09410.1	MCOT09056.0.TT	
no change - only ID and name update	103512923	XM_008477718.1	XM_008477718.1	XP_008475940.1	Dcitr09409.1	MCOT07909.0.TT	
no change - only ID and name update	103512916	XM_008477711.1	XM_008477711.1	XP_008475933.1	Dcitr09408.2	MCOT08254.0.TT	FBpp0305783
no change - only ID and name update	103512916	XM_008477710.1	XM_008477710.1	XP_008475932.1	Dcitr09408.3	MCOT09695.0.OO	
no change - only ID and name update	103512916	XM_008477709.1	XM_008477709.1	XP_008475931.1	Dcitr09408.1	MCOT08254.0.TT	
no change - only ID and name update	103512918	XM_008477712.1	XM_008477712.1	XP_008475934.1	Dcitr09407.1		
no change - only ID and name update	103512922	XM_008477717.1	XM_008477717.1	XP_008475939.1	Dcitr09406.1	MCOT14085.2.CO	
no change - only ID and name update	103512921	XM_008477716.1	XM_008477716.1	XP_008475938.1	Dcitr09405.1	MCOT14085.3.CC	
no change - only ID and name update	103512915	XM_008477708.1	XM_008477708.1	XP_008475930.1	Dcitr09404.6		
no change - only ID and name update	103512915	XM_008477705.1	XM_008477705.1	XP_008475927.1	Dcitr09404.5		
no change - only ID and name update	103512915	XM_008477706.1	XM_008477706.1	XP_008475928.1	Dcitr09404.4		
no change - only ID and name update	103512915	XM_008477703.1	XM_008477703.1	XP_008475925.1	Dcitr09404.3		
no change - only ID and name update	103512915	XM_008477704.1	XM_008477704.1	XP_008475926.1	Dcitr09404.2		
no change - only ID and name update	103512915	XM_008477707.1	XM_008477707.1	XP_008475929.1	Dcitr09404.1		
no change - only ID and name update	103512912	XM_008477700.1	XM_008477700.1	XP_008475922.1	Dcitr09403.4		
no change - only ID and name update	103512912	XM_008477697.1	XM_008477697.1	XP_008475919.1	Dcitr09403.3		
no change - only ID and name update	103512912	XM_008477698.1	XM_008477698.1	XP_008475920.1	Dcitr09403.2		
no change - only ID and name update	103512912	XM_008477699.1	XM_008477699.1	XP_008475921.1	Dcitr09403.1		
no change - only ID and name update	103512914	XM_008477701.1	XM_008477701.1	XP_008475923.1	Dcitr09402.1	MCOT00689.0.CO	
no change - only ID and name update	103512920	XM_008477715.1	XM_008477715.1	XP_008475937.1	Dcitr09401.1	MCOT02814.0.CO	
no change - only ID and name update	103512902	XM_008477687.1	XM_008477687.1	XP_008475909.1	Dcitr19016.2	MCOT12281.3.CC	
no change - only ID and name update	103512905	XM_008477690.1	XM_008477690.1	XP_008475912.1	Dcitr09422.1		
no change - only ID and name update	103512911	XM_008477696.1	XM_008477696.1	XP_008475918.1	Dcitr09421.1	MCOT02050.2.CC	FBpp0074047
no change - only ID and name update	103512910	XM_008477695.1	XM_008477695.1	XP_008475917.1	Dcitr09420.1	MCOT15923.0.CO	
no change - only ID and name update	103512908	XM_008477694.1	XM_008477694.1	XP_008475916.1	Dcitr09419.1		
no change - only ID and name update	103512907	XM_008477693.1	XM_008477693.1	XP_008475915.1	Dcitr09418.1		
no change - only ID and name update	103512904	XM_008477689.1	XM_008477689.1	XP_008475911.1	Dcitr09417.1	MCOT02750.0.CO	FBpp0078680
no change - only ID and name update	103512906	XM_008477691.1	XM_008477691.1	XP_008475913.1	Dcitr09416.1		
no change - only ID and name update	103512901	XM_008477686.1	XM_008477686.1	XP_008475908.1	Dcitr09415.1	MCOT15534.0.CO	
no change - only ID and name update	103512899	XM_008477685.1	XM_008477685.1	XP_008475907.1	Dcitr09434.1	MCOT07672.0.MM	FBpp0110316
no change - only ID and name update	103512898	XM_008477684.1	XM_008477684.1	XP_008475906.1	Dcitr09433.1	MCOT12382.1.CT	FBpp0086096
no change - only ID and name update	103512897	XM_008477683.1	XM_008477683.1	XP_008475905.1	Dcitr09432.1	MCOT01711.0.CO	
no change - only ID and name update	103512891	XM_008477677.1	XM_008477677.1	XP_008475899.1	Dcitr09431.1	MCOT01711.0.CO	
no change - only ID and name update	103512892	XM_008477678.1	XM_008477678.1	XP_008475900.1	Dcitr09430.1	MCOT15179.0.CC	FBpp0297150
no change - only ID and name update	103512888	XM_008477674.1	XM_008477674.1	XP_008475896.1	Dcitr09429.1	MCOT03425.0.CO	
no change - only ID and name update	103512889	XM_008477675.1	XM_008477675.1	XP_008475897.1	Dcitr09428.1	MCOT16484.0.CC	FBpp0085690
no change - only ID and name update	103512890	XM_008477676.1	XM_008477676.1	XP_008475898.1	Dcitr09427.1	MCOT01777.0.CO	FBpp0074365
no change - only ID and name update	103512896	XM_008477681.1	XM_008477681.1	XP_008475903.1	Dcitr09426.1	MCOT03425.0.CO	
no change - only ID and name update	103512887	XM_008477672.1	XM_008477672.1	XP_008475894.1	Dcitr09425.2	MCOT03425.0.CO	
no change - only ID and name update	103512887	XM_008477673.1	XM_008477673.1	XP_008475895.1	Dcitr09425.1	MCOT03425.0.CO	
no change - only ID and name update	103512895	XM_008477680.1	XM_008477680.1	XP_008475902.1	Dcitr09424.1		
no change - only ID and name update	103512894	XM_008477679.1	XM_008477679.1	XP_008475901.1	Dcitr09423.1	MCOT00430.0.CO	FBpp0307805
no change - only ID and name update	103512886	XM_008477670.1	XM_008477670.1	XP_008475892.1	Dcitr09448.1		
no change - only ID and name update	103512885	XM_008477669.1	XM_008477669.1	XP_008475891.1	Dcitr09447.1	MCOT18434.0.CT	
no change - only ID and name update	103512883	XM_008477668.1	XM_008477668.1	XP_008475890.1	Dcitr09446.1	MCOT18434.0.CT	
no change - only ID and name update	103512882	XM_008477667.1	XM_008477667.1	XP_008475889.1	Dcitr09445.1	MCOT18434.0.CT	
no change - only ID and name update	103512881	XM_008477666.1	XM_008477666.1	XP_008475888.1	Dcitr09444.1		
no change - only ID and name update	103512880	XM_008477665.1	XM_008477665.1	XP_008475887.1	Dcitr09443.1	MCOT00927.0.CO	
no change - only ID and name update	103512871	XM_008477656.1	XM_008477656.1	XP_008475878.1	Dcitr09442.1	MCOT04768.1.CT	
no change - only ID and name update	103512879	XM_008477664.1	XM_008477664.1	XP_008475886.1	Dcitr09441.1	MCOT00927.0.CO	FBpp0078372
no change - only ID and name update	103512878	XM_008477663.1	XM_008477663.1	XP_008475885.1	Dcitr09440.1	MCOT04768.1.CT	FBpp0303095
no change - only ID and name update	103512877	XM_008477662.1	XM_008477662.1	XP_008475884.1	Dcitr09439.1	MCOT18440.0.CT	
no change - only ID and name update	103512876	XM_008477660.1	XM_008477660.1	XP_008475882.1	Dcitr09438.1	MCOT03080.2.CT	
no change - only ID and name update	103512875	XM_008477659.1	XM_008477659.1	XP_008475881.1	Dcitr09437.1	MCOT05866.2.CT	FBpp0309440
no change - only ID and name update	103512873	XM_008477658.1	XM_008477658.1	XP_008475880.1	Dcitr09436.1	MCOT12955.2.CT	FBpp0308612
no change - only ID and name update	103512872	XM_008477657.1	XM_008477657.1	XP_008475879.1	Dcitr09435.1	MCOT19309.0.CC	
no change - only ID and name update	103512870	XM_008477655.1	XM_008477655.1	XP_008475877.1	Dcitr09459.1	MCOT21575.0.CT	FBpp0311487
no change - only ID and name update	103512869	XM_008477654.1	XM_008477654.1	XP_008475876.1	Dcitr09458.1		
no change - only ID and name update	103512868	XM_008477653.1	XM_008477653.1	XP_008475875.1	Dcitr09457.1	MCOT19845.1.CT	
no change - only ID and name update	103512867	XM_008477652.1	XM_008477652.1	XP_008475874.1	Dcitr09456.1		
no change - only ID and name update	103512866	XM_008477650.1	XM_008477650.1	XP_008475872.1	Dcitr09455.1	MCOT19845.1.CT	
no change - only ID and name update	103512865	XM_008477649.1	XM_008477649.1	XP_008475871.1	Dcitr09454.1	MCOT08343.0.MM	
no change - only ID and name update	103512864	XM_008477648.1	XM_008477648.1	XP_008475870.1	Dcitr09453.1	MCOT02168.0.CO	
no change - only ID and name update	103512862	XM_008477647.1	XM_008477647.1	XP_008475869.1	Dcitr09452.1	MCOT08343.0.MM	
no change - only ID and name update	103512861	XM_008477646.1	XM_008477646.1	XP_008475868.1	Dcitr09451.1	MCOT02168.0.CO	
no change - only ID and name update	103512860	XM_008477645.1	XM_008477645.1	XP_008475867.1	Dcitr09450.1	MCOT15289.0.CO	
no change - only ID and name update	103512859	XM_008477644.1	XM_008477644.1	XP_008475866.1	Dcitr09449.1		
no change - only ID and name update	103512858	XM_008477643.1	XM_008477643.1	XP_008475865.1	Dcitr09463.1	MCOT01246.0.CT	
no change - only ID and name update	103512857	XM_008477642.1	XM_008477642.1	XP_008475864.1	Dcitr09462.1	MCOT00818.1.CC	
no change - only ID and name update	103512855	XM_008477639.1	XM_008477639.1	XP_008475861.1	Dcitr09461.1	MCOT01249.2.CO	FBpp0075054
no change - only ID and name update	103512856	XM_008477640.1	XM_008477640.1	XP_008475862.1	Dcitr09460.1		
no change - only ID and name update	103512846	XM_008477630.1	XM_008477630.1	XP_008475852.1	Dcitr09474.1	MCOT01439.2.CC	
no change - only ID and name update	103512853	XM_008477638.1	XM_008477638.1	XP_008475860.1	Dcitr09473.1	MCOT22635.2.CT	
no change - only ID and name update	103512852	XM_008477637.1	XM_008477637.1	XP_008475859.1	Dcitr09472.1		
no change - only ID and name update	103512851	XM_008477636.1	XM_008477636.1	XP_008475858.1	Dcitr09471.1		
no change - only ID and name update	103512845	XM_008477629.1	XM_008477629.1	XP_008475851.1	Dcitr09470.1	MCOT02388.0.CC	
no change - only ID and name update	103512850	XM_008477635.1	XM_008477635.1	XP_008475857.1	Dcitr09469.1		FBpp0292128
no change - only ID and name update	103512849	XM_008477634.1	XM_008477634.1	XP_008475856.1	Dcitr09468.1		
no change - only ID and name update	103512844	XM_008477628.1	XM_008477628.1	XP_008475850.1	Dcitr09467.1		
no change - only ID and name update	103512841	XM_008477626.1	XM_008477626.1	XP_008475848.1	Dcitr09466.2		
no change - only ID and name update	103512841	XM_008477627.1	XM_008477627.1	XP_008475849.1	Dcitr09466.1		
no change - only ID and name update	103512848	XM_008477633.1	XM_008477633.1	XP_008475855.1	Dcitr09465.1	MCOT22197.2.CC	
no change - only ID and name update	103512847	XM_008477632.1	XM_008477632.1	XP_008475854.1	Dcitr09464.1	MCOT22197.2.CC	
no change - only ID and name update	103512834	XM_008477619.1	XM_008477619.1	XP_008475841.1	Dcitr09481.1	MCOT05745.1.CO	FBpp0070426
no change - only ID and name update	103512835	XM_008477620.1	XM_008477620.1	XP_008475842.1	Dcitr09480.1	MCOT05745.1.CO	
no change - only ID and name update	103512839	XM_008477625.1	XM_008477625.1	XP_008475847.1	Dcitr09479.1	MCOT05745.2.CO	
no change - only ID and name update	103512838	XM_008477624.1	XM_008477624.1	XP_008475846.1	Dcitr09478.1	MCOT03127.2.CO	
no change - only ID and name update	103512837	XM_008477623.1	XM_008477623.1	XP_008475845.1	Dcitr09477.1	MCOT19597.3.CO	
no change - only ID and name update	103512833	XM_008477618.1	XM_008477618.1	XP_008475840.1	Dcitr09476.1	MCOT21074.0.CT	
no change - only ID and name update	103512836	XM_008477622.1	XM_008477622.1	XP_008475844.1	Dcitr09475.1	MCOT08196.0.MM	
no change - only ID and name update	103512831	XM_008477617.1	XM_008477617.1	XP_008475839.1	Dcitr09488.1	MCOT18158.1.CT	
no change - only ID and name update	103512830	XM_008477616.1	XM_008477616.1	XP_008475838.1	Dcitr09487.1	MCOT18158.2.CC	
no change - only ID and name update	103512824	XM_008477609.1	XM_008477609.1	XP_008475831.1	Dcitr09486.1	MCOT02194.0.CC	FBpp0301220
no change - only ID and name update	103512829	XM_008477615.1	XM_008477615.1	XP_008475837.1	Dcitr09484.1	MCOT02500.2.CT	
no change - only ID and name update	103512823	XM_008477608.1	XM_008477608.1	XP_008475830.1	Dcitr09483.1	MCOT01506.0.CT	
no change - only ID and name update	103512822	XM_008477607.1	XM_008477607.1	XP_008475829.1	Dcitr09482.1	MCOT08350.0.OO	FBpp0088676
no change - only ID and name update	103512817	XM_008477603.1	XM_008477603.1	XP_008475825.1	Dcitr09493.1	MCOT20140.0.CC	
no change - only ID and name update	103512815	XM_008477602.1	XM_008477602.1	XP_008475824.1	Dcitr09492.1	MCOT16098.0.CC	
no change - only ID and name update	103512820	XM_008477606.1	XM_008477606.1	XP_008475828.1	Dcitr09491.1		
no change - only ID and name update	103512819	XM_008477605.1	XM_008477605.1	XP_008475827.1	Dcitr09490.1	MCOT00165.0.CT	
